ID,Book,Author,Year,Poem,Line,Metaphor present or not,Count,Metaphor,Interpretation,Source ,Target,Mood
17,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,මගේ සිත කෞතුකාගාරයකි මා සොඳුර,yes,1,සිත කෞතුකාගාරයක්,කවියාගේ සිත නටබුන් වු මතකයන් ගෙන් පිරි කෞතුකාගාරයක් මෙනි.,මතකයන්,නටබුන්,ශෝකය
18,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,පැතුම් ගිනිගෙන නැගෙන දුම් රොටුය මේ අඳුර,yes,1,පැතුම් දුම් රොටු,කවියා ගේ පැතුම් ගින්දර ට හසුවි දැවී අහසට නැගෙන දුම් රොටු සේ විනාශ වි ඇත,පැතුම්,දුම් රොටු ,ශෝකය
19,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,ළිහිල් බැමි වදන් දෙකකින් මුදා ගෙන,yes,1,ළිහිල් බැමි වදන්,මෘදු වදන් ලිහිල් බැමි සේය,මෘදු වදන්,ළිහිල් බැමි,සෙනෙහස
20,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,මලක් ලෙසින් පායා ආ ඔබ සොයන,yes,1,මලක් ලෙසින් පායා ආ ඔබ,කවියා ආදරවන්තිය මලක් සේ සුන්දරව දකියි,ආදරවන්තිය,මල,සතුට
21,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,සිනාවේ විලෝමය,සමනළ පියාපත් මා සතුව නොතිබිණ,yes,1,සමනළ පියාපත්,ආදරවන්තිය බලාපොරොත්තුවන ධනය සහ සුඛෝපභෝගි ජි්විතය කවියා ලග නොමැත.,සමනළ පියාපත්,සුඛෝපභෝගි ජි්විතය,ශෝකය
22,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මැඩි සකිය,උරග ඉරි විල්තෙරෙහි අන්දවන,yes,1,උරග ඉරි,මැඩියා ගමන් කල විට උරගයකු ගිය පාරවල් සේ විල්තෙරෙහි ඉරි ඇදි ඇත.,මැඩියා ගේ ගමන,උරගයාගේ අඩි පාර,කුතුහලය
23,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,පෘථග්ජන,නොසන්සිදෙන පෙම්වතියයි තණ්හාව,yes,1,පෙම්වතියයි තණ්හාව,තණ්හාව කවදාවත් සංසිදෙන්නේ නැත. කෙනෙක් පෙම්වතියට ඇලුම් කරන්නාසේ තණ්හාව ද තමන් සමගම සිටියි.,තණ්හාව,පෙම්වතිය,කලකිරීම
24,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,පෘථග්ජන,බාල හංස සරි පැබර බුහුටි තන,yes,1,බාල හංසයින් කුඩා තන් වලට සමාන ය,කවියා කුඩා ළඳුන්ගේ පියයුරු දඟකාර  කුඩා හංස පැටවුන් සේ දකි.,කුඩා පියයුරු,හංස පැටව්,සතුට
25,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,දියලුම බඩ අලුයමක්,රැයක අගිස්සෙන් දලු ලන විට උදය.,yes,1,රැය කෙලවර උදය,ගසක අග්ගිස්සෙන් දලු පැමිණෙන්නාසේ රැය කෙලවර උදය පැමිණේ.,උදය පැමිණිම,ගසෙහි දලු ලැම,සෞන්දර්යය
26,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,දියලුම බඩ අලුයමක්,අඟනකි සීරුවෙන් කෙහෙරැල් මුදා හල,yes,1,දිය ඇල්ල අඟනකගේ වරලසට සමානය,දියඇල්ලේ ජලය පහලට කඩා වැටිම කාන්තාවගේ මුදාහල කෙස් වැටියක් විලසට කවියා දකි,දියඇල්ල,කෙස් වැටිය,සොබාදහමේ ලස්සන
27,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,දියලුම බඩ අලුයමක්,සුළඟේ කෝල වෙයි දිය සරැලි වරලස,yes,1,සුළඟට නැලවෙන දිය පහර වරලස වැනිය,දිය ඇල්ලේ කඩා හැලෙන ජල ධාරාව සුළඟට වැනෙන වරලස ⁣වැනිය,දිය ඇල්ලේ ජලය කඩා හැලිම,සුළඟට නටන දිගු කොණ්ඩය,සතුට
28,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,පෙම රතු පිඩ,හිම ගොඩ උඩ ඔබ පෙම රතු ගිනි පිඩ,yes,1,පෙම රතු ගිනි පිඩ,කවියාගේ ආදරය ඉතා දැඩිය. එය රතු ගිනි පිඩකට සමානය,ආදරය,රතු ගිනි පිඩ,ආදරය
29,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,පෙම රතු පිඩ,සහස් රැසින් සෙනෙහස් එළි දහසින්,yes,1,සහස් රැසින් සෙනෙහස්,කවියාට කාන්තාවගේ සෙනෙහස එළි දහසකින් ලැබෙන ආලෝකයක් මෙන් ඉතා විශාලය.,සෙනෙහස,එළි දහස,සතුට ආදරය
30,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,පෙම රතු පිඩ,"ඉරක් හඳක් මෙනි රනක් මිණක් වැනි
රුවේ නොහිම් දිස්නේ",yes,1,රන් මිණි සේ රුව ලස්සනය.,රත්තරන් සහ මැණික් වගේ ඇගේ රුවද ලස්සනට දිලිසෙන බව කවියා කියයි,කාන්තාවගේ රුව,රත්තරන් මැණික් ,ආදරය
31,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,උක් දුක්,විසිකොට අප හප රොඩු මෙන්,yes,1,උක් කපන කම්කරුවා සහ උක් හපය,උක් ගසේ සාරය ලබාගෙන හපය ඉවත ලන්නාසේ උක් කපන්නාගේ ශ්රමය ලබාගෙන සොච්චම් වැටුපක් දි ඔහුව පැත්තකට කරයි.,උක් කපන මිනිස්සු,උක් ගහේ හපය,කලකිරිම
32,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,උක් දුක්,"මුල් වලට තව පොහොරක් මැයි
රූරන අපෙ කදුලු කැට",yes,1,කඳුළු බිදු පොහොර,උක් වවන ගොවියාගේ දුක් කඳුළු ගොවි බිමට එකතු වි් ඒවා ද උක් ගසට පොහොර වේ.,ගොවියාගේ දුක්,පොහොර ,කලකිරිම
33,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,අන්ධකාරවාදියාටත් උදෑසනක්,නිද්‍රාවේ ලලන වැළද සරාගි නොවු යුගතින,yes,1,නින්ද ලලනාවක් සේය,කවියා කාන්තාවක් වැළද ගන්නාසේ නින්ද සතුටින් ළඟා කරගනී,නින්ද ,කාන්තාව ,ආලය
34,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,අන්ධකාරවාදියාටත් උදෑසනක්,නුවන් කවුලු වැසුණු විටක මැදියම ස්වප්නයක පැමිණ,yes,1,නුවන් කවුළු,කවියා විසින් නින්ද යාම කවුළුවක් වැසිමක් ලෙස හදුන්වයි,ඇස් පියන්,කවුළුව,සිහිනයක් රස විඳිම
35,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,අන්ධකාරවාදියාටත් උදෑසනක්,දිවා කලෙක මග හමුවන වින කල මනු රුපුන් පමණ,yes,1,වින කල මනු රුපුන්,දිවා කල හමුවන සමහර මිනිසුන් අන් අයට වින කටින මිනිස් සතුරන්ට සමානය,මිනිසුන්,මිනිස් සතුරන්,තරහව
36,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,අන්ධකාරවාදියාටත් උදෑසනක්,තවත් කිලිටි දිනක් රැගෙන බඩ ගා එන බැවින් අරුණ,yes,1,බඩගා එන අරැණ,කවියාට දැනෙන්නේ දවස ඉතා හෙමින් උදා වන බවයි. එනිසා ඔහු දවස උදාවිම බඩගා එන ගමනකට සමාන කරයි,දවස උදාවිම,බඩගා එන අරුණ,නොඉවසිලිමත් බව
37,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,දුකින් පිරුණු රැය,ඉඳිකටු සිරිපොද වැටේ යලිත්,yes,1,ඉඳිකටු සිරිපොද,සිරිපොද කවියා ට දැනෙන්නේ තියුණු ඉදිකටු වලින් ඇඟට අනින්නාක් මෙනි,සිරිපොද,ඉඳිකටු,"දුක, තරහ"
38,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,දුකින් පිරුණු රැය,සිතගින් සිතිවිලි ඊ ගිලිහේ,yes,1,සිතිවිලි ඊ,කවියාගේ සිතිවිලි ඊතල මෙන් කෙලින්ම ඇය කරා ඇදි යයි,සිතිවිලි,ඊතල,ආදරය
39,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,දුකින් පිරුණු රැය,වියෝව ඔබට දිය උලක් පමණයි,yes,1,වියෝව දිය උල්පත,කවියා කෙතරම් ආදරය කලත් කාන්තාවට ඔහුගෙන් වෙන්විම දිය උල්පතක් වැනි සුලු දෙයකි,වෙන්විම,දිය උල්පත ,ශෝකය
40,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,දුකින් පිරුණු රැය,මෙසා ගඟක් මට වන අතරේ,yes,1,වෙන්විම විශාල ගඟක්,කවියාට ආදරවන්තියගේ වෙන්වයාම ඉතා විශාල දෙයකි. එය ඔහුට ගඟක් තරමට  විශාලය,වෙන්විම,ගඟ,ශෝකය
41,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වාසනාවේ දාසයා,රෝස පෙති එලු යහනක,yes,1,රෝස පෙති වැනි ඇඳ ඇතිරිලි දැමු යහන,ඉතා ලස්සන සිනිදු ඇඳ ඇතිරිලි දැමු යහනක් කවියා සිතින් මවා ගනි,රෝස පෙති,ඇඳ ඇතිරිලි ,බලාපොරොත්තු
42,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,වාසනාවේ දාසයා,"අහිමි උනොත් ආකාසේ
මාළිගාව කඩා වැටෙනවා",yes,1,ආකාසේ මාළිගා,කවියා ලොතරැයියක පළමු දිනුම ඇදුනු විට කරන දේ ගැන සිහින මවයි. ලොතරැයි ජය අහිමි උවහොත් ඔහුගේ සියලු බලාපොරොත්තු අහසේ මාළිගා මෙන් බිද වැටෙයි,බලාපොරොත්තු,අහසේ මාළිගා,බලාපොරොත්තු සහිත බව
43,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,කුලී නිවස සහ සින්නක්කර සෙනෙහස,නොගත්තෙත් අලුත් කඳුළු ද ගෙය තුලට,yes,1,අලුත් කඳුළු දරු පැටව්,කවියා සහ බිරිඳ කුලි නිවසක වාසය කරයි. දරැපැටව් හදා ගැනිම ඔවුන්ට තවත් දුකට හේතුවකි. එනිසා දරුවන් අලුත් කදුලු ලෙස හදුන්වා ඇත.,දරුවන්,අලුත් කදුලු ,සංතාපය
44,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,කුලී නිවස සහ සින්නක්කර සෙනෙහස,හසුන් මෙන් සැනින් නික්මිය හැකි අපට,yes,1,හසුන් පතේ ඉක්මන් නික්මිම,හසුන් පතක් තැපැලට දැමු විට බාධාවක් නැතිව ඉක්මනින් අනෙකා වෙත යන්නාසේ කවියා සහ බිරිදටද කුලි නිවසින් බාධාවක් නැතිව ඉක්මනින් පිට විය හැක,කුලි නිවසින් පිටවි යාම,හසුන් පතේ ගමන,ශෝකය
45,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,කුලී නිවස සහ සින්නක්කර සෙනෙහස,සදා ඔබට මා මට ඔබ නොවැ නිවස.,yes,1,දෙදෙනාටම දෙදෙනා නිවසක් වැනිය,"සැමියාට බිරිඳත්, බිරිඳට සැමියාත් නිවසක් වැනිය. නිවසකින් ලැබෙන උනුසුම, රැකවරණය, සැනසිම එකිනෙකාගෙන් ලැබේ.",බිරිඳ,නවාතැන් පොල,ආදරය
46,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,"මගේ සිතත්, පිට්ටනියක්, ගී මඩුවක්",නරඹන්නන් තෙරපෙන පිටියකි මගේ සිත,yes,1,සිත පිට්ටනියකි,ජය ගෝසා නගන නරඹන්නන් ගෙන් පිරිනු පිට්ටනියක් ලෙස කවියාගේ සිතද කැළබි ඇත,කවියාගේ ආදර සිත,නරඹන්නන් තෙරපෙන පිට්ටනිය ,කුතුහලය
47,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,"මගේ සිතත්, පිට්ටනියක්, ගී මඩුවක්","ගිත ලෝලයන් නලියන ගී  උළෙලකි
මගේ සිත",yes,1,ගී උළෙලකි මගේ සිත,කවියාගේ ආදරයෙන් පිරැනු සිත ගීත අසා උද්දාමයට පත්වු ගීත ලෝලීන් ගෙන් පිරි ගී උළෙලක් වැනිය .,කවියා ගේ හැගුම්බර සිත,ගී උලෙළ ,ආදරය
48,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,"මගේ සිතත්, පිට්ටනියක්, ගී මඩුවක්","වේග පන්දුවකට අසුව
සැණින් දැවි යාවිද ඔබ",yes,1,වේග පන්දුව ක්‍රිඩකයා දැවි යාම,හදිසියේම කවියාට ආදරවන්තිය අහිමි උවොත් එය ක්‍රිඩකයා දැවි යාමට සමාන කරයි,වේග පන්දුව කට  දැවි යාම,ආදරය අහිමි විම,ආදරය
49,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,"මගේ සිතත්, පිට්ටනියක්, ගී මඩුවක්","හනිකට ගී තුනක් ගයා
ගී මඩුවෙන් බසිද ඔබ",yes,1,ඉක්මනින් ගී තුනක් කියා වේදිකාවෙන් බැස යාම,කවියා සමග ආදරයෙන් බැදි සිට කෙටි කලකින් ඔහුගෙන් ඉවතට යාම මෙයින් අදහස් කරයි,වේදිකාවෙන් නික්ම යාම,ආදරවන්තිය වෙන්විම,කුතුහලය
50,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මළ බළල් පැටවා සහ ඉතිහාසය,විදුලි එළිවලින් ගිනිගත් ධුම නුවර,yes,1,විදුලි එළිය ගිනිගොඩක් වැනිය,නගරයේ සැම තැනම ඇති විදුලි පහන් වල එළිය නගරය ගිනි ගෙන ආලෝකමත් වුවා සේ දිස්වෙයි,විදුලි එළිය,ගින්දර එළිය,විශ්මය
51,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මළ බළල් පැටවා සහ ඉතිහාසය,එක සුමේට දෙපස ගලන මේ මහ රිය ගඟ,yes,1,රථවාහන පෙල ගඟක් මෙනි,නගරයේ රථවාහන එක පෙලට ගමන කිරිම ගංගාවක් ගලා යන්නාසේ දිස්වෙයි,රථවාහන පෙල,ගලන ගඟ,පරිසරයේ අසිරිය
52,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මිතුරෙකු ගේ වස් කවිය,"පමණට වැඩිවු සිගරැට් උගුරක් ලෙසින
පපුවෙි පිරි කැස්සට එයි ඒ හැඟුම",yes,1,සිගරැට්ටුව ඉරිමෙන් ඇතිවන කැස්ස,කවියාට මිතුරාගේ වෙන්විම දරාගත නොහැකිය. එය ඔහුගේ පපුවට රිදුම් දෙයි. එය සිගරැට්ටුව ක් වැඩියෙන් උරා බිවු විට ඇතිවන කැස්ස මෙනි.,දුම් පානයෙන් ඇතිවන කැස්ස,මිතුරා වෙන්විම නිසා ඇතිවු වේදනාව ,ශෝකය
53,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඉරවති,"වඳ බැස තිබුණු ජිවිතේ
පිදුණේ ඔබේ රස්නෙන්",yes,1,වඳ බැස තිබුණු ජිවිතේ පිදුණේ,කවියාගේ පරාජිතව කල කිරිමෙන් ගෙවුණු ජි්විතය නැවත සුර්යයාලෝකය ලැබි පිදුනු ගසක් මෙන් කාන්තාවගේ උනුසුමින් ප්‍රානවත් විය.,නැවත පුදින ගස,නැවත අලුත් වන ජි්විතය,සතුට
54,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඉරවති,ප්‍රේමය දැල්වු අග්නි පෙනෙල්ලයි,yes,1,ප්‍රේමය දැල්වු අග්නි පෙනෙල්ලයි,කවියාගේ සිතෙහි ඇතිවන ප්‍රේමය ඇවිලෙන ගිනි පෙනෙල්ලේ ගින්දර මෙන් ඔහුව දවාලයි,ප්‍රේමය,ගිනි පෙනෙල්ල,ආදරය
55,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,ඉරවති,නිල නුවන් නැති රෝස පතුල් නැති,yes,1,ලස්සන හෝ සෞම්‍ය නොවන හිරු එළිය,හිරු එළියේ ලස්සන නොමැති උවත් සෞම්‍ය නොවුවත් එහි ඇති උනුසුමට ඔහු ආදරය කරයි,හිරැ එළියේ රළු බව,ලස්සන ඇස් නැති රෝස පතුල් නැති,"සතුට, සෙ⁣නෙහස"
56,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මස,චුන්ද නුඹ පිස දුන්න සුකර මද්දවේ,yes,1,චුන්ද පිසු සුකර මාංශ මේසයේ ඇති මස් බදුනට සම කරයි,පෙර දින දුටු ගවයා අද දක්නට නැත. මුදලාලි විසින් ඌව මරා අද දින හෝටලයේ ආහාර වලට එකතු කර ඇත. කවියා මුදලාලි බුදුන් ට සුකර මාංශ පිලිගැන්වු චුන්ද ට සමාන කරයි,චුන්ද සහ සුකර මාංශ,මුදලාලි සහ ගව මස් ,"පිලිකුල, ශෝකය"
57,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,නෝක්කාඩු,සඳ සයනේ ඉර ගල වැතිරෙන්ට එපා,yes,1,සඳ සයනය,කාන්තාවට නෝක්කාඩුවක් කියන කවියා සඳ එළිය නැමැති සයනයට ඉර එළිය වැටෙන්නට එපා යයි ඉල්ලයි,සඳ,සයනය,ආදරය
58,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,තවත් තැවෙන දවසක්,තන්තුවක් වත් නැර වැඩ කරයි ඇඟ මැසිම,yes,1,ඇඟ මැසිම,කවියා දවස පුරා වෙහෙස වි වැඩ කරයි . ඇඟට කිසිම විවේකයක් නොමැත . එය නොනැවතී වැඩ කරන  මැසිමකට සමානය,එක දිගටම වැඩ කරන ඇඟ,මැසිම ,කලකිරිම
59,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,අනුරාග පුරය,දිවිය නැමැති මහ මැදුරෙහි නොසපිරි,yes,1,දිවිය මහ මැදුරකි,කවියා නිතර පහන් දැල්වෙන නිවෙන මහා මන්දිරයක් ලෙසට ජි්විතය දකි,ජි්විතය,මන්දිරය,කුතුහලය
60,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,අනුරාග පුරය,මානා විදිනට සිදුවන නෙත් සර,yes,1,පියයුරැ වෙත හෙලන බැල්ම ඊතල වැනිය,කවියා කාන්තාවගේ පියයුරැ දෙස බලන බැල්ම දුන්නක මානා යවන ඊතලයකට සමාන කරයි.,බැල්ම ,ඊතල ,අනුරාගය
61,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,අනුරාග පුරය,"නොනිමෙන තෘෂ්ණාවයි ඇවිලෙන්නේ
ඒ ගිනි දරමිනි මග ඇවිදින්නේ",yes,1,තෘෂ්ණාව නමැති ගින්න,"කවියාට මඟදී හමුවන ළදුන් සිප ගන්නට, ඔවුන් හා සැතපෙන්නට නොනවතින ආශාවක් ඇත. ඔහු එය ⁣ඇවිලෙන ගින්නකට සමාන කර ඇත .",රාගය,ගින්න,ආශාව
62,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,නොඅරිමි කවුළුව,කය ඇවිලෙන ගිනි දලු චිතකය,yes,1,කය ඇවිලෙන ගිනි දලු චිතකය,කවියා අහිමි වු ප්‍රේමය නිසා ගතින් සහ සිතින් දුක් විඳින ආකාරය පෙන්වයි. ආදර සැමරුම්  ඔහුගේ ගත දවාලන්නේ ගිනි ගෙන දැවෙන චිතකයක් මෙනි.,විරහ වේදනාව,ගිනි ගන්නා චිතකය ,ශෝකය
63,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,එක් දින හිනයක්,දෙවඟනන් සරි උඩඟු බිසවුන්,yes,1,දෙවඟනන් සරි උඩඟු බිසවුන්,රජවරැන්ගේ බිසවුන් ඉතා ලස්සනය. කවියා ඔවුන් දෙවඟනන් ලෙස දකි.,බිසවුන් ,දෙවඟනන් ,සතුට
64,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,එක් දින හිනයක්,දුර දිස්වන හරිත තුරු ටැම්,yes,1,තුරු ටැම්,ඇතින් පෙනෙන උස ගස් කුළුණු ලෙසට කවියා දකි.,හරිත තුරැ,කුළුණු,සොබා දහමේ අපුර්වත්වය
65,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,එක් දින හිනයක්,කෝපයේ නෙත් විදුලි එවමින්,yes,1,කෝපයේ බැල්ම විදුලිය වැනිය,කෝපයෙන් බලන බැල්ම විදුලිය තරම් දරැනු බැල්මකි.,කෝපවු බැල්ම,විදුලිය,කුතුහලය
66,වැසි ඉසෙන ඉසව්,ලක්ශාන්ත අතුකෝරල,2009,මසන්නකුගෙන් පිය බසක්,මා ආවේ දිවියේ ලුණු සයුර පීනගෙන,yes,1,දිවිය ලුණු සයුරකි,කටුක දිවිය ලුණු සහිත සාගරයේ පිනා යන ගමනට සමාන කරයි.,දිවිය,ලුණු සයුර,"ශෝකය, සංතාපය"
